,date,prophet_forecast,xgboost_forecast,ensemble_forecast
0,2025-01-21,5816.14408634468,3369.523,4348.171404069122
1,2025-01-22,5320.1314685630905,3370.6506,4154.823824090898
2,2025-01-23,5225.721240035636,3370.6506,4121.016272852371
3,2025-01-24,5347.724112947572,3370.6506,4174.808611284575
4,2025-01-25,2433.048317842996,3371.2944,2987.5623143428793
5,2025-01-26,1448.2420481075571,3371.2944,2580.466149225271
6,2025-01-27,6307.509850717183,3371.2944,4585.370021797597
7,2025-01-28,3376.630797630861,3373.333,3374.703999085302
8,2025-01-29,5765.333683312013,3373.333,4373.135537347128
9,2025-01-30,5848.02582577978,3373.333,4413.260102104368
10,2025-01-31,6106.838524099648,3373.333,4528.162304581003
11,2025-02-01,3236.40258052506,3380.7883,3319.4649443128906
12,2025-02-02,2250.0671754057357,3380.7883,2898.0085112292395
13,2025-02-03,7103.136420534227,3380.7883,4978.470319464901
14,2025-02-04,6730.10436903293,3381.5774,4826.335099273232
15,2025-02-05,6241.006289437014,3380.5718,4621.164723038131
16,2025-02-06,6097.522544238467,3379.084,4564.201019461545
17,2025-02-07,6109.593171442382,3379.084,4575.599246123628
18,2025-02-08,2955.752461004287,3378.924,3192.5383738224286
19,2025-02-09,1726.6078326830561,3378.924,2647.4492426077236
20,2025-02-10,6440.4865699881375,3378.924,4741.1473858590125
21,2025-02-11,5923.122071176499,3376.8867,4515.540280846345
22,2025-02-12,5352.0471814401535,3376.8867,4264.599286251193
23,2025-02-13,5198.639625703047,3376.8867,4199.74589694677
24,2025-02-14,5269.43007746259,3376.8867,4235.973816412794
25,2025-02-15,2199.3728263390685,3376.8867,2839.7286959198445
26,2025-02-16,1124.43060196566,3376.8867,2344.300094426392
27,2025-02-17,6092.806085927695,3376.1147,4627.624239725118
28,2025-02-18,5790.224303972306,3376.1147,4493.65759760607
29,2025-02-19,5435.166698747616,3376.1147,4333.920935305773
30,2025-02-20,5489.043762832374,3374.1528,4362.686121034922
31,2025-02-21,5743.578398164938,3374.1528,4486.984165338983
32,2025-02-22,2787.4930262500507,3375.2805,3097.8976565019548
33,2025-02-23,1807.7813324125923,3375.2805,2632.039330904131
34,2025-02-24,6895.303340730857,3375.2805,5052.235210855381
35,2025-02-25,6613.818090356685,3375.9243,4925.747628431964
36,2025-02-26,6243.822887942734,3375.9243,4755.0935171002
37,2025-02-27,6258.491852286718,3375.9243,4768.62548542715
